Name,Description,Category
,A McDonald's employee was recently fired for placing ____ in children's Happy Meals.,
,A million dollars isn't cool. You know what's cool? ____.,
,A miracle cure is ____.,
,A nefarious source tells Geo News that the PM has his own secret plan to replace the Cabinet with ____.,
,A new adventure awaits at Magical Kingdom of ____!,
,A new poll shows that ____ is only 6 points ahead.,
,"A new Russian dash-cam video shows ____, right there in the middle of the street!",
,A night of fun must include ____.,
,"A picture is worth a thousand words, and so is ____.",
,"A publisher accepted ____'s book, ""1001 uses for ____.""",
,A reality series based on my life would be titled ____.,
,A recent study shows students get straight A's after being exposed to ____.,
,A remarkable new study has shown that chimps have evolved their own primitive version of ____.,
,A romantic evening would be incomplete without (a/an) ____.,
,A school play starring ____.,
,A single death is a tragedy; a million deaths is ____.,
,"A Soldier-inspired musical, you say? What's the theme?",
,A spoonful of ____ helps the ____ go down.,
,A study published in Nature this week found that ____ is good for you in small doses.,
,"A superior officer approaches. You salute and say ____, and they respond with ____.",
,"A thoughtful present for a deaf,blind and downs syndrome baby is ____",
,A trip to Mexico can make you so happy because of ____.,
,A true friend is someone who ____.,
,A typical family dinner would be incomplete without ____.,
,A visit to the in-laws is never complete without ____.,
,A vote for Imran Khan is a vote to Make Pakistan ____ Again.,
,A vote for me is a vote for ____.,
,A wild ____ appears! You used ____! It's super effective!,
,A wildly inappropriate gift that I received from my boss:,
,"A wise man once said, “What doesn't kill you makes you ____.” I stand before you today as living proof that this is true.",
,Absence makes the heart grow ____.,
,"According to a new poll, 57 percent of people support ____.",
,"According to my doctor, I have a problem with ____.",
,"According to recent polls, 76% of Democrats are voting in support of ____.",
,"According to the international best seller Breaking Up With Your Boat Boo, ____ is the #1 way to cope with your loss.",
,"According to this personality quiz, you're the friend who's most likely to be ____.",
,"According to The PM, he's ""strongly into Iman and religion."" But only sort of into ____.",
,"According to The PM, the government can take away your home, but not your guns or ____.",
,"According to your permanent profile, you can no longer be in the vicinity of ____.",
,Bad trips always start with ____ & end with ____.,
,PIA guidelines now prohibit ____ on aeroplanes.,
,Action stations! Action stations! Set condition one throughout the fleet and brace for ____!,
,Actions speak louder than ____.,
,Admit it. You would like to spend the night ____ with at least one person at this table.,
,Adulting is like ____ mixed with ____.,
,Adulting is stressful. At least as a child I was ____.,
,Affordable healthcare's not the answer. Only ____ can end the epidemic.,
,"After ____, I don't take anything for granted.",
,"After ____, the elevator ride got really uncomfortable.",
,"after 24 hours in labor, my wife grabbed the nurse by the throat and yelled ____",
,After a long and secret battle with ____. Larry King sadly passed away this morning.,
,"After a long day, ____ relaxes me.",
,"After a long day, don't you just want ____.",
,"After a long day, nothing feels as good as ____.",
,"After a night of fun, I found ____ in my back pocket",
,After a week long binge of biryani and nihari I woke up with a tattoo of ____!,
,"After announcing ____ as their new model, Khaadi stock soared to a never before seen high.",
,After attending Food Street I frequently enjoy ____.,
,"After being crowned King or Queen, your first reception is interrupted by ____.",
,"After blacking out during New Year's Eve, I was awoken by ____.",
,"After climate change, what is the worst ecological concern today?",
,"After graduating from LUMS with ____, I'm now qualified to do ____.",
,"After the floods, Shahid Afridi brought ____ to all the people of Sindh.",
,"after I confessed, the priest told me ____",
,"After its unsuccessful campaign, the Secession Movement has shifted its focus to separating ____ from ____.",
,"after The PM performed his first U-turn, he turned to the crowd and proclaimed ____",
,"After last night's debate, we were shocked to find out that Trump supports ____.",
,"After learning about the rampant use of ____ within the Navy, you quickly decide against re-enlisting.",
,"after learning Darth Vader was his father, Luke said ____",
,"after my grandma passed gas, she learned over to my grandpa and said ____",
,After my parents abandoned me I was raised by ____.,
,"After numerous reports of Marines falling ill, the VA has reluctantly that ____ causes unpleasant illness.",
,"After phasing out orca shows, SeaWorld is now attracting customers with ____.",
,After President Trump gets done beheading top-bracket tax rates? Say goodbye to ____.,
,After reading Stephen Hawking's latest theory of ____ I curled up into a corner and cried for three days straight.,
,"After smoking too much weed, I thought I was being chased by ____.",
,"After stomping Indian spy into the dirt, Major Aziz celebrated his victory with ____.",
,"After surviving cancer, i really want to make the most of my life by ____.",
,"After taking on the Buffalo School Board, Carl Paladino takes on ____.",
,"after telling me she was pregnant, I told my wife ____",
,After the birth I'm gonna have to ____.,
,"after the crash, the cop picked up the driver's phone and the last text message said ____",
,"After the drought, Marc Lottering brought ____ to the people of the Orania",
,"After the drought, Mark Lottering brought ____ to the peopel of Orania.",
,"After the earthquake, Sean Penn brought ____ to the people of Haiti.",
,"After the end of my last relationship, i decided to take an interest in ____ to get over things",
,"After the final book was published, J.K. Rowling confirmed that Dumbledore was ____.",
,"After the Ice Boom was removed, ____ was floating down the Niagara River.",
,"After the NYSE delisted Trump Hotels in 2004, you could buy 1000 shares with ____.",
,"After the school bell rings, ____ is the one thing I want to do.",
,"After the show it’s the afterparty, and after the party it's ____.",
,"After the spring thaw, we found ____ buried under the giant snowdrift.",
,"After Trump defunds Planned Parenthood, low-income Americans can still rely on ____ for birth control.",
,"After Trump repeals every word of ObamaCare, he's replacing it with a luxury golf course and ____.",
,"After trying to sell his/her favourite ____ on eBay™, ""Insert Name"" decided to give it his/her grandmother.",
,"After viewing our reflection in a mirror, I thought: ____.",
,"After work, I like to spend time decompressing with ____.",
,"After years of searching, we finally found the Lost City of ____.",
,"After years of study, I finally received my doctorate in ____.",
,"After years of work, I finally present to you my autobiography, A Life of ____.",
,"Afterward, I realized having my grandmother over for ____ on her birthday may not have been the best idea I've ever had.",
,Aggressively bidding online for ____.,
,"Ah, excuse me, waiter, I see that the restaurant offers ____. Is that gluten-free?",
,"Ah, High School. A place for ____ and ____.",
,Ah! Your rival! What was his name again?,
,Ahhh ____! Toodle pip!,
,"AHOY, Seaman! Welcome to the Cutter Midgett! Prepare for a nonstop onslaught of ____.",
,Ain't it nifty? Barb and Bob hit 50! So get off your ass and raise a glass to 50 years of ____.,
,Ain't no party like a Catholic party because a Catholic party has ____.,
,Ain't no sunshine when she's ____.,
,Air Force incompetence is getting so bad that the brass are starting to blame ____ on the lack of discipline.,
,"Air New Zealand has released their latest safety video, featuring ____, ____ & ____.",
,Airport scanners are really looking for ____.,
,Airport security guidelines now prohibit ____ on airplanes.,
,"Airport security is totally out of control, on his/her last vacation ""Insert Name"" was stopped for having ____.",
,Al Gore invented ____,
,"Alex, I'll take ____ for $200",
,"Alexa, add ____ to my shopping list.",
,"Alexa, why does my breath smelll like ____",
,All classes today are cancelled due to ____.,
,All compromise is based on give and take. But there can be no give and take on ____.,
,All day I dream about ____.,
,All dogs go to ____.,
,"All hands, brace for ____!",
,All I want for Eid is a day without ____.,
,All I want for my birthday is ____.,
,All of my friends agree. I would be so much better if it were not for ____.,
,All that and a bag of ____.,
,"All the world's a stage, and all the men and women merely ____.",
,All we are saying is give ____a chance.,
,"All women flirt with me, consciously or unconsciously, thinking about ____.",
,All you need is ____.,
,"Along with his ""very good brain,"" who or what else will make up Trump's Cabinet?",
,"Along with millions of so-called paid protesters, what else is fueling the Trump Economy?",
,"Along with something borrowed and something blue, be sure to take ____ with you down the aisle.",
,"Along with sticks, weeds, and discarded panties, what will you find at Donald J. Trump State Park?",
,"Alright everybody, HOLD! Kelly, why is there ____ on my stage?",
,"Alright, I'm done with ____. It's time for ____.",
,Alternative medicine is now embracing the curative powers of ____.,
,"Although ____ is authorized, it is strongly discouraged.",
,"Although ____ provided excellent results, the ethics committee has decided that the practice can no longer continue.",
,Alton Towers have announced their new roller coaster will be called ____.,
,"Always a bridesmaid, never ____.",
,"Always blow on ____, Safer communities together!!",
,Am I the only one to admit that I hate ____?,
,Am I… ____?,
,"Amazingly, Japanese toy manufacturers have managed to make ____ irresistibly cute.",
,Amazon just announced that it is partnering with the U.S. Air Force to deliver ____ to your doorstep.,
,Amazon Prime membership now includes ____.,
,"AMC's new spin off, ____ The Walking Dead.",
,"Amelia Earhart didn't die flying a plane, she is living on an island surrounded by ____.",
,America is hungry. America needs ____.,
,America's Navy: A Global Force for ____.,
,American children are too spoiled and lazy to appreciate ____.,
,An abandoned grain elevator filled with ____ would be a good time.,
,An abundance of ____ is always the first sign of spring.,
,An angry riot broke out on campus were triggered by a speech made by ____ about ____.,
,An apple a day keeps ____ away.,
,"An apple a day keeps the doctor away, ____ keeps the rapists away.",
,An engagement ring is a beautiful symbol of ____.,
,An enormous statue commemorating ____ was erected in front of the Lee Harvey Oswald School of Marksmanship Excellence.,
,A Hum TV Original Series: ____.,
,An executive order will be issued calling dibs on ____.,
,An nonconsensual ____ during a game of league.,
,An ounce of ____ is worth a pound of ____.,
,An unconsentual ____ during a game a league.,
,"An unexpected slowdown in traffic on the 33, obviously caused by ____.",
,An upcoming social event just got canceled. How are you celebrating?,
,Ancient Chinese proverb say: ____ is just ____ without ____.,
,And all because the lady loves ____.,
,"And for my final wish Genie, I want you to make me the master of ____.",
,"And for my next magic trick, I will pull ____ out of a hat!",
,And here we see the alpha male of the species uses ____ to entice a mating partner.,
,"And here we see the aunty in her natural habitat, angrily commenting about ____ on her Facebook page.",
,"And in the end, the dragon was not evil; he just wanted ____.",
,"And now, from PTV in Islamabad, it's ""____ with Tariq Aziz.""",
,"And on the 8th day, Allah created ____, and it was good",
,And that's the last time I buy ____ off OLX.,
,And the Pakistani Entertainment Award for ____ goes to ____.,
,And they'll know we are Pakistanis by our ____.,
,And what do we say to the Angel of Death?,
,Angelina Jolie will now be special envoy for ____.,
,Anonymous's next target? ____.,
,Ant Mcpartlin has released his new book entitled ____,
,Anthropologists have recently discovered a primitive tribe that worships ____.,
,Any movie can be improved by the presence of ____.,
,Anyone else surprised the Nobel Prize for ____ went to ____ this year?,
,Anyone who knows me knows that I love ____.,
,Anything about ____ has to be educational.,
,Aply liberally three times a day to reduce ____.,
,"Apple just announced that in the next iPhone update, they’re replacing Siri with ____.",
,Apple® has announced a new device that promises to revolutionize the way we think about ____.,
,"April is ""The Month of the Military Child."" What are you doing to celebrate?",
,Afridi responds to ____ with ____.,
,KFC: We Have ____.,
,"Are you thinking what I'm thinking, B1? I think I am, B2: it's ____ time!",
,"Meera is unattractive, both inside and out. I fully understand why her former husband left her for (a) ____. He made a good decision.",
,Art isn’t just a painting in a stuffy museum. Art is alive. Art is ____.,
,"As a birthday treat, nothing can top ____ dipped in ____.",
,"As a businessman, The PM is best known for ____.",
,"As a feminist, I cannot support ____.",
,"As a huge fan of Maula Jutt I'm a bit disappointed with the film's casting, I've always pictured ____ as Maula Jutt.",
,"As a kid, I spent my hard earned allowance on ____.",
,"As a kid, I was afraid ____ was hiding under my bed.",
,"As a parent, I get excited about ____.",
,"As a practical joke, we switched grandma's heart pills with ____.",
,"As a show of loyalty to Pakistan, every foreign visitor must burn a science book and pledge allegiance to ____.",
,"As a small child, I used to feed my goldfish ____.",
,"As a staunch libertarian, I believe the only role for government is ____.",
,"As a rickshaw driver, I have one rule: No ____.",
,"As a tuition teacher, I was shocked the first time I caught my students ____.",
,"As a Youth Development Volunteer, I spent all day teaching children about ____.",
,"As Quaid-e-Azam famously declared, ""The first casualty in the War on the Media is the truth. The second is ____.""",
,"As always here at TED, we've saved the best for last. Please give a very warm welcome to ____, here to give us an extra long, five-hour talk on how to deal with ____.",
,"As far back as I can remember, I always wanted to be ____.",
,"As first female PM, I am legalizing ____.",
,"As long as my kid doesn't grow up to be ____, I'm happy.",
,"As my New Year's resolution, I vow to give up ____.",
,"As of today, all local staff will be paid in ____.",
,"As part of his contract, Atif Aslam won’t perform without ____ in his dressing room.",
,"As part of its hazing process, the senior students forced the juniors to try ____.",
,As PM the hardest task is dealing with ____.,
,"As PM, I would include a policy on ____.",
,"As PM, Imran Khan promises to take Iran's oil, return Afghanistan's Afghans, and ____.",
,"As PM, Imran Khan will create a new holiday that celebrates ____.",
,"As Teddy Roosevelt said, the four manly virtues are honor, temperance, industry, and ____.",
,"As the mom of five rambunctious boys, I'm no stranger to ____.",
,"As the self-described ""king of debt,"" The PM ruled over a magnificent empire of failed housing societies and ____.",
,"As First Lady of Pakistan, she will be an outspoken advocate for ____.",
,"As your commanding officer, I order you to perform ____ for my amusement.",
,Ask not what your country can do for you; ask what you can do for ____.,
,Ask your doctor if ____ is right for you. Side affects may include: ____.,
,Asking the hotel manager to arrange ____ for your room.,
,Asking your blind date if they also like ____.,
,"Astronomers have discovered that the universe consists of 5% ordinary matter, 25% dark matter, and 70% ____.",
,"At 8 months pregnant, mom should do (or have) a lot of ____.",
,"At a parent teacher conference, your teacher confessed you have a serious problem focusing on ____.",
,"At a work meeting, I suggested shifting our core competencies away from web-based monetization and toward ____.",
,"At a Mehndi, ____ is not only allowed, it's encouraged.",
,"At first I was afraid, I was petrified / kept thinking I could never live without ____.",
,"At his inauguration, The PM confirmed that deporting ____ is his #1 priority.",
,"At Bani Gala, The PM imports foreign dishwashers because he can't find Pakistani workers with ____.",
,"At cadet college in the 1960s, The PM won medals for neatness and ____.",
,At my command SUPARCO will have to shoot ____ into space.,
,"At my father's funeral, I put ____ in the casket with him.",
,"At my last Dholki, there was so much ____, I ____ (ed).",
,"At my last physical, the doctor told me I need to cut back on ____.",
,At night when I close my eyes ____ occupies my thoughts.,
,"at Eid, I hugged my father-in-law and whispered ____",
,"at the Eid party, my boss whispered ____",
,"At the city council meeting this month, we will talk about ____.",
,"At the end of the day, my underwear is so ____ in the front and ____ in the back.",
,"at the end of the night, my rishta date anxiously blurted out ____",
,"At the end of the night, the venue smelled like ____.",
,"At the next home game, the first 1,000 attendees will get commerorative ____ bobble head.",
,"at the royal wedding, the Queen was overheard teling Kate Middleton ____",
,"At the Food Street, you can buy deep-fried ____.",
,"at the urinal, the guy next to me looked down and said ____",
,"At PC Bhurban, room service will bring you a ""PC Supreme"" pizza where every square inch is topped with ____.",
,"At Agha Khan University Nursing College, aspiring caregivers learn all about ____.",
,"At SUPARCO, satellites designed to monitor ____ are now being launched into low Earth orbit.",
,"At work, I've managed to get this far with only ____.",
,Attempting to explain to your Dad why you were ____ in the garden shed.,
,Attention students. This is the Principal. Please remember that we do not alow ____ in the hallway. Thank you.,
,"Audiences at Alhamra were traumatized by the controversial new film, ""____.""",
,Aunt Mary bored us for hours by showing us hundreds of photos of ____.,
,Authorities were baffled when they found out the killer was actually ____ all along.,
,"Aw babe, your burbs smell like ____.",
,"Aw babe, your burps smell like ____!",
,"Awkward … I saw ""Insert Name"" with ____ on Saturday night.",
,"Awww, sick! I just saw this skater do a 720 kickflip into ____!",
,"Babe, come over, I'm ____.",
,Baby got ____.,
,"Baby I'm ____ on the streets, ____ in the kitchen.",
,"Back in college, my nickname was ____.",
,Back in my day ____ only cost a quarter.,
,"Back when ""Insert Name"" was a kid he/she had to work hard for his/her ____.",
,"Backers who supported Tabletop at the $25,000 level were astonished to receive ____ from Wil Wheaton himself.",
,Bad Hombres actually enjoy ____.,
,Bad Hombres' biggest weakness is ____.,
,Bankrupt governments around the world are turning to ____ to generate additional revenue.,
,Cricket's new drug scandal involves players hopped up on ____.,
,"Based on my experience, this could easily be fixed by ____.",
,"Be sure to pack ____ carefully when camping, it attracts bears.",
,Be wise as ____ and innocent as ____.,
,Beauty and the ____ is my favorite Disney movie!,
,Beauty and the ____.,
,"Because of my investment in Bitcoin, soon I'll be able to afford ____.",
,"Because you enjoyed ____, we thought you'd like ____.",
,Becoming transgender - the most attention seeking thing since ____,
,"Before 1 year of age, the baby should be careful to avoid ____.",
,"Before deciding on the EdgeWalk, the CN Tower is considered ____ as a new attraction",
,Before going to sleep I always check under the bed for ____.,
,"Before hot dogs, Kobayashi was the champion of devouring ____.",
,"Before I attend your dawwat, I must inform you: toys vore me, and I don't care for sweets. I prefer ____.",
,"Before I go to sleep, I always think about ____.",
,"Before I got laid off, I never pictured a career in ____.",
,"Before i kill you, Mr. Bond, i must show you ____.",
,"Before kids, I never thought about ____.",
,"before pulling the covers over her head, my girlfriend said ____",
,"Before they were teenagers, my biggest worry was ____, but now I fear ____.",
,Behind every successful man is ____.,
,"Behold the Four Horsemen of the Apocalypse! War, Famine, Death, and ____.",
,Being a good husband means ____.,
,Being accused of ____ at a work disciplinary.,
,Being asked to leave the art gallery for ____.,
,Being called into your managers office for ____ at the work Eid party.,
,Being Muslim is the best because of ____.,
,Being caught ____ by the library security.,
,Being concerned that the baba saw ____ in your future.,
,Being distracted by ____ at the side of the road.,
,Being married means having the freedom to embrace ____.,
,Being partners for life means embracing ____.,
,Being pregnant makes me want to ____.,
,Being The PM is easy. You just need ____.,
,Being reprimanded by the Headmaster for ____ when you should've been at school.,
,Being reprimanded by your boss for including ____ in your yearly objectives.,
,Being sold ____ by an aggressive salesman in the shopping centre.,
,Being the first country to give women the vote has resulted in ____.,
,Being unable to look your Dad in the eye once he's seen you ____.,
,Believe in ____.,
,Believe in the magic of ____.,
,Believe it or not Jim Carrey can do a dead-on impression of ____.,
,"Bentley's® latest ultra-high-end luxury sedan comes complete with ____, ____ and ____.",
,"Imran Khan. The messier his hair gets, the more powerful ____ becomes.",
,"Besides sticky napalm, what else is detrimental to kids in a war zone?",
,"Best you go back where you came from, now. We don’t take too kindly to ____ in these parts.",
,Bet I can give you ____!,
,Beware of Greeks bearing ____.,
,Beware of the ides of ____.,
,"Iqbal Park is much better than its original name, ""____ Park.""",
,"Bilal got so messed up at the last company holiday party, that everyone saw him ____.",
,AMIR LIAQUAT HERE FOR ____.,
,Maualan Tariq Jameel is lit because of ____.,
,Blaming ____ for all your money troubles.,
,Blood is thicker than ____.,
,"Bob Ross's little-known first show was called ""The Joy of ____.""",
,Bobby was suspended from high school when they found ____ in his locker.,
,"Bowing to years of pressure, the Lahore Qalandars have officially been renamed the Lahore ____.",
,BowWOW! is the first pet hotel in Lahore that offers ____ for dogs.,
,Box of diapers: $40. Food for the week: $200. ____: priceless.,
,Boys are so good at ____.,
,Boys remind me of ____.,
,"Brace yourselves, ____ is coming.",
,Breaking News: Geo News Reports that The PM has been removed by ____ for his actions in/on ____.,
,Loan from IMF won`t solve the economy but ____ will.,
,Bringing up ____ on a first date is a terrible idea. I know from experience.,
,Khaadi sale! 50% off of ____,
,"Brown bear, brown bear, what do you see?",
,Browsing for a new outfit for ____ this weekend.,
,Bruno Mars should write a song about ____.,
,Karela tastes like ____.,
,Building up the courage to tell your partner about the time you were ____ to pay the bills.,
,"Business idea: like Careem, but for ____.",
,"But wait, there’s more! If you order ____ in the next 15 minutes, we’ll throw in ____ absolutely free!",
,"Buy one, give one should be reserved for ____.",
,Buying excessive amounts of ____ on $5 week.,
,Mangobaaz presents: 10 pictures of ____ that look like ____.,
,"By the age of four, male children already display a preference for ____.",
,"By the third date, most people expect ____.",
,"By the year 2025,it`s believed over 50% of the world will be ____.",
,"La-ho-ri girls, we're unforgettable / ____, dupattas on top.",
,Nida Yasir's TED Talk on plastic surgery is called ____,
,Pakistani universities now offer a degree in ____.,
,"Call me a bad parent, but the only way I can get my toddler to calm down is to give him ____.",
,"Call me a patriot if you will, but I believe in Truth, Justice and ____.",
,Call of Duty: Modern ____.,
,"Calm down, dear, it's only ____.",
,Campus police arrested me for public ____.,
,Can a woman really have it all? A career and ____?,
,Can we stop by the store? I need to grab ____.,
,Can you believe Nando`s have added ____ to their menu,
,Can you explain why we found ____ under your pillow?,
,Can you feel the ____ tonight?,
,Can you help me understand the connection between ____ and ____?,
,Can you pass the ____ to ____ already?,
,Can you please help me find my ____?,
,"Can you tell me how to get, how to get to ____?",
,Can you tell me the best way to bring ____ to the masses?,
,Can you tell me why the local aunties have been seen buying up ____?,
,Can't believe Nawaz Sharif put ____ on his pizza.,
,"Can't you see? The Establishment is behind everything-the banks, the media, even ____!",
,Cancel all my meetings. We've got a situation with ____ that requires my immediate attention.,
,Bar.B.Q Tonight really closed because of ____,
,Carte Blanche investegates ____.,
,Geo News investigates ____.,
,Monal is now offering a 2-for-1 Cliff diving and ____.,
,Cash strapped City Hall has decided to implement a tax on ____ immediately,
,Cat in the ____.,
,The Quran talks about ____.,
,Pakistani millenials are known for ____.,
,Pakistanis are tired of talking about ____ with non-Pakistanis.,
,CAUTION: ____ can be hazardous to your health.,
,Caution! ____ leads to ____.,
,"PTV presents ""____: the Story of ____.""",
,"Channel 4 presents ""____: the Story of ____.""",
,Geo's new reality show features eight washed-up celebrities living with ____.,
,Channel 5’s new reality show features eight washed-up celebrities living with ____.,
,"PTV is pleased to present its new variety show, ""Hey Hey It's ____.""",
,Charlie and the chocolate ____.,
,Shoaib Akhtar holds the record for ____ the fastest.,
,"Check me out, yo! I call this dance move ""____.""",
,Check out my new podcast about ____ and ____.,
,"Cherish the special moments, like ____.",
,Chief said if you finish ____ you can go home early.,
,Children should be seen and not ____.,
,Children these days don't appreciate ____.,
,Biryani: $5 Nihari: $8 ____: Market Price,
,Chocolate cake with ____ would be epic!,
,"Chocolate, flowers, and ____.",
,Choosey mothers choose ____.,
,Choosy moms choose ____.,
,"Chris Warner saying: ""Please tell me that is not ____.""",
,"Chris Warner saying: ""Please tell me that is not your ____.""",
,Junaid Jamshed's radical new perfume was inspired by the smell of ____.,
,Eid was ruined for me when my Uncle Larry got me ____.,
,CHUNGO FEEL SICK. CHUNGO NO LIKE ____ ANYMORE.,
,"Citing demographics, Sunday Magazine has replaced fashion with ____.",
,Civilians will never understand the joys of ____.,
,"Classic summer camp prank: while someone is asleep, put his hand in ____.",
,Cleaning while the kids are awake is like ____.,
,Click Here for ____!!!,
,Close only counts with horse shoes and ____.,
,Cloudy with a chance of ____.,
,CNN breaking news! Scientists discover ____.,
,"Code Three, request backup! I'm surrounded by ____!",
,Colleges should really start offering classes in ____.,
,"Lahoris know that when it smells like ____, it's going to rain.",
,Lahore's next big public art installation will depict ____.,
,"Come on, it's lovely weather for a/an ____ together with you.",
,"Come to Lahore for the ____, stay for the ____",
,Come with me on an adventure to the land of ____.,
,"Come with me, and I will show you a world of ____.",
,Comedy = Tragedy + ____.,
,"Coming soon from Pixar: ""____""",
,"Coming this fall, ____, starring Fawad Khan.",
,Coming this fall: garam masala ____!,
,"Coming this holiday season, Metal Gear Solid: ____.",
,"Coming this season, Samuel Beckett's classic existential play: Waiting for ____.",
,"Coming this spring from BioWare, Mass Effect: ____.",
,"Coming to Alhamra next season: ""____ on the Roof.""",
,"Coming to Bar.B.Q Tonight® this month, ____.",
,"Coming to the Art Council this season, ____: The Musical",
,"Coming to the Artscape this season, ____: The Musical.",
,"Coming to the cinema this year, ____: The Musical.",
,"Coming up on PTV Home: Shaan and Hamayun Saeed star in ""The Hunt for ____.""",
,comments you shouldn’t leave on an old picture of your ex,
,Computer dating services have brought together ____ and ____.,
,Computer! Display ____ on screen. Enhance.,
,Concerned about diabetes? Watch for symptoms like ____ and ____.,
,Confessing your love of ____ to your partners family when you first meet them.,
,Confessng to your parents you've been suspended from college due to ____.,
,Congratulations! It's a ____!,
,"Congratulations! You have been selected for our summer internship program. While we are unable to offer a salary, we can offer you ____.",
,Congratulations! You joined the Army! Get ready for ____.,
,The Senate approved a new retirement plan that replaces your pension with a lifetime supply of ____.,
,The President declared Marshal Law because of ____ & ____.,
,Parliament introduced the 30th Amendment guaranteeing every Pakistani the right to ____.,
,Consider including ____ in your vows.,
,Contemplating ____ takes up a lot of my prayer time.,
,Contravening workplace policy by ____ in front of your colleagues.,
,Controversy erupted when the Imam gave his blessing to ____.,
,Convince me to ____ using your magical powers of ____.,
,"Corruption. Betrayal. ____. Coming soon to Netflix, ""House of ____.""",
,Cover your eyes and count to ten while I ____.,
,Cowards die many times before their deaths; the valiant never taste ____.,
,Create your new unit motto: ____ and ____!,
,Creepiest ride ever: my Careem driver was ____.,
,Crikey! I've never seen ____ like this before! Let's get a bit closer.,
,"Critics are raving about HBO's new Game of Thrones spin-off, ""____ of ____.""",
,Crossfitters won't stop talking about a new exercise in their routine that involves ____.,
,Cry havoc and let slip ____!,
,"CTV presents ""____: the Story of ____.""",
,"K2's new tourism campaign: come for ____, stay for ____.",
,Cupid is known for this ____.,
,"Sadequain's ""The Last Supper"" contains a hidden image of ____.",
,Dad left the family when I was only a baby because of his desire to be ____.,
,Dad seems to never notice ____.,
,Dad shouldn't be playing with ____ like a toy.,
,Daddy drinks because I'm ____.,
,"Daddy, what made you divorce Mommy?",
,"Daddy, why does Mommy always call you ____ behind your back? That's because Mommy is ____, my dear.",
,"Daddy, why is mummy crying?",
,Daddy? What are you doing?,
,Daddy's worst nightmare.,
,Dammit Gary. You can't just solve every problem with ____.,
,"Dammit, I don't care what anyone thinks! I'm in love with ____.",
,Damn it feels good to be ____.,
,Damn it! I forgot the ____.,
,Dan Brown's latest novel explores the hidden symbolic meaning behind ____.,
,"Dance like there’s nobody watching, love like you’ll never be hurt, and live like you’re ____.",
,Darn right I'm running for PM and I'm taking ____ with me.,
,David Farrier uncovering a secret ____ ring.,
,David's secret weapon to defeat Goliath was ____.,
,Daydreaming about ____ is the only way to survive a boring class.,
,Daydreaming about buying ____ when you get rich.,
,Lollywood is really scraping the bottom of the barrel with the new Batman movie. They're calling it Batman: ____.,
,"Dear Abby, I'm having some trouble with ____ and would like your advice.",
,"Dear Agony Aunt, I'm having some trouble with ____ and I need your advice.",
,"Dear Agony Aunt, I'm having some trouble with ____ and would like your advice.",
,"Ya Allah, if I promise to start ____ will you let me into Jannah?",
,"Dear Parliament, before cutting the military budget, you might want to think about ____.",
,"Dear Diary, my parents have no idea I spent the day ____.",
,"Dear PM, you are so great at ____.",
,"Dear Aamir Liaquat, I'm having trouble with ____ and would like your advice.",
,"Dear Mom and Dad, Camp is fun. I like capture the flag. Yesterday, one of the older kids taught me about ____. I love you, Casey",
,"Dear Parent, we regret to inform you that ""Insert Name"" will no longer be allowed on school property after he/she involvement with ____.",
,"Dear Santa, All I want for Eid is ____. Love, Don PS, Give The PM ____.",
,Dear Santa. All I want for Eid this year is ____.,
,"Dear Substitute Teacher, could you please stop ____?",
,"Dear Teacher, instead of giving us a math test, can we spend the time ____?",
,"Dear, your father and I found ____ and ____ in your bedroom. I'm shocked, and frankly just a little disappointed.",
,"Dearly beloved friends, we are gathered here to join together these two persons in ____.",
,Deck the halls with boughs of ____.,
,"Delirious from ____, a cackling Patrick Etheridge once exclaimed, ""You have to go out, but you don't have to come back!""",
,Demand that disgruntled longshoreman ____.,
,Denying the school-wide rumour that you were ____.,
,Describe the Army with one card.,
,Describe your Air Force career with one card.,
,Describe your military career with one card.,
,Describe your time in the Navy with one card.,
,Describing ____ as the highlight of your year during a birthday speech.,
,Metro Bus: ____ for the children.,
,"Despite overwhelmning scientific evidence to the contrary, some people still believe that vaccines cause ____.",
,"Despite what I've been told, ____ is not a crime in Pakistan",
,"Deviating from his usual landscapes, Jimmy Engineer painted ____ in his most recent episode.",
,Diary of a wimpy ____.,
,"Bilal and Ayesha smoke sheesha, and then ____.",
,Zardari was hiding ____ under his shirt.,
,Did not enjoy ____. One star.,
,Did you even know that ____ invented ____?,
,Did you hear about the new boy band? They are called ____ on the Block.,
,Did you hear that? I think it was ____.,
,"Did you just hear ""Insert Name"" just say he/she was going to eat ____?",
,Did you know? Our college was recently named the #1 school for ____!,
,Did you read the Scary Mommy blog post about ____?,
,Did you see the last episode of Hoarders? ____ had the biggest collection of ____ I ever saw!,
,"Did you see? ""Insert Name"" accidentally posted a picture of themselves doing ____ on Facebook™.",
,"Directed by Shoaib Mansoor, the unnecessary sequel to Khuda Kay Liye is basically three hours of ____.",
,Disabled children. They never say no to ____.,
,Disney Presents: ____ on ice!,
,Disney's experimental amusement park centered around the theme of ____ was a colossal failure.,
,Distracting the band by ____ in the front row of the concert.,
,Distracting the fitness instructor by ____ during the class.,
,Do not ____ on my parade.,
,"Do not go gentle into that good night. Rage, rage against ____?",
,"Do the Bhangra, get ____.",
,Do what?,
,"Do with me what you want, Pakistan does not negotiate with ____.",
,Do you lack energy? Does it sometimes feel like the whole world is ____ ? Ask your doctor about Panadol.®,
