Name,Category
What is a moment in your life that you will never forget?,Deep & ThoughtProvoking
"If you could give your younger self one piece of advice, what would it be?",Deep & ThoughtProvoking
What’s a challenge you’ve overcome that you’re proud of?,Deep & ThoughtProvoking
Describe a time when you felt completely out of your comfort zone.,Deep & ThoughtProvoking
What is one of your happiest memories?,Deep & ThoughtProvoking
Who has had the biggest impact on your life and why?,Deep & ThoughtProvoking
What is a lesson you had to learn the hard way?,Deep & ThoughtProvoking
"If you could relive one day of your life, which would it be?",Deep & ThoughtProvoking
What’s something you used to believe that you no longer do?,Deep & ThoughtProvoking
How have you changed the most in the last five years?,Deep & ThoughtProvoking
What is one value you will not compromise on?,Deep & ThoughtProvoking
"Do you believe in fate, free will, or a combination of both?",Deep & ThoughtProvoking
What does “success” mean to you?,Deep & ThoughtProvoking
What is a cause or issue you are passionate about?,Deep & ThoughtProvoking
What role does spirituality play in your life?,Deep & ThoughtProvoking
Is it more important to be liked or to be respected?,Deep & ThoughtProvoking
What do you believe is the purpose of life?,Deep & ThoughtProvoking
How do you define a “good life”?,Deep & ThoughtProvoking
What is something you think everyone should experience at least once?,Deep & ThoughtProvoking
Do you think people are fundamentally good?,Deep & ThoughtProvoking
Where do you see yourself in ten years?,Deep & ThoughtProvoking
What’s one thing you want to accomplish before you die?,Deep & ThoughtProvoking
"If you could change one thing about the world, what would it be?",Deep & ThoughtProvoking
What does your ideal day look like?,Deep & ThoughtProvoking
What are you most looking forward to in the future?,Deep & ThoughtProvoking
"If money were no object, how would you spend your time?",Deep & ThoughtProvoking
What is a dream you’ve had for a long time?,Deep & ThoughtProvoking
What legacy do you want to leave behind?,Deep & ThoughtProvoking
What is your biggest fear?,Deep & ThoughtProvoking
What is something you’re insecure about?,Deep & ThoughtProvoking
Have you ever felt truly lonely?,Deep & ThoughtProvoking
What is a mistake you’ve made that you still think about?,Deep & ThoughtProvoking
What’s something that people often misunderstand about you?,Deep & ThoughtProvoking
What is your biggest regret?,Deep & ThoughtProvoking
What do you value most in a friendship?,Deep & ThoughtProvoking
How do you show someone you love them?,Deep & ThoughtProvoking
What is the most important lesson you’ve learned about relationships?,Deep & ThoughtProvoking
Is it possible to truly know another person?,Deep & ThoughtProvoking
What makes you feel connected to someone?,Deep & ThoughtProvoking
What role does forgiveness play in your relationships?,Deep & ThoughtProvoking
Do you believe in soulmates?,Deep & ThoughtProvoking
What is the best relationship advice you’ve ever received?,Deep & ThoughtProvoking
"If you could have dinner with any three people, living or dead, who would you choose?",Deep & ThoughtProvoking
"If you won the lottery tomorrow, what is the first thing you would do?",Deep & ThoughtProvoking
"If you could travel back in time, where would you go?",Deep & ThoughtProvoking
"If you knew you couldn’t fail, what would you do?",Deep & ThoughtProvoking
"If you could live in any fictional world, which one would you choose?",Deep & ThoughtProvoking
"If you could know the absolute truth to one question, what would you ask?",Deep & ThoughtProvoking
Where do you go when you need to think?,Deep & ThoughtProvoking
What’s a book that changed your perspective on something?,Deep & ThoughtProvoking
Do you consider yourself more of a logical or a creative person?,Deep & ThoughtProvoking
What does “beauty” mean to you?,Deep & ThoughtProvoking
What is one thing you wish more people understood?,Deep & ThoughtProvoking
"If you could pass one law that everyone in the world had to follow, what would it be?",Deep & ThoughtProvoking
What is the biggest challenge facing humanity today?,Deep & ThoughtProvoking
How can we create a more compassionate world?,Deep & ThoughtProvoking
What does it mean to be a good citizen?,Deep & ThoughtProvoking
What’s something you’re currently working on improving about yourself?,Deep & ThoughtProvoking
What does it mean to be “authentic”?,Deep & ThoughtProvoking
How do you practice self-care?,Deep & ThoughtProvoking
What is the best compliment you have ever received?,Deep & ThoughtProvoking
What quality do you admire most in others?,Deep & ThoughtProvoking
When do you feel most like yourself?,Deep & ThoughtProvoking
Biryani: With Aloo or Without?,Desi Life & Culture Adaptations
What is the best topping for a Bun Kebab?,Desi Life & Culture Adaptations
Chai or Coffee?,Desi Life & Culture Adaptations
Ludo: Strategy or Luck?,Desi Life & Culture Adaptations
"What is your favorite childhood game (e.g., Oonch Neech, Kho Kho)?",Desi Life & Culture Adaptations
"If you could ban one guest from every wedding, who would it be?",Desi Life & Culture Adaptations
What is the most chaotic thing about traffic in your city?,Desi Life & Culture Adaptations
"If you were a cricket player, what would be your signature move?",Desi Life & Culture Adaptations
"What is your go-to comfort food when you are sick? (e.g., Khichdi, Yakhni)",Desi Life & Culture Adaptations
Best place to visit in Pakistan?,Desi Life & Culture Adaptations
"Favorite sweet dish at a wedding? (Kheer, Zarda, Gulab Jamun)",Desi Life & Culture Adaptations
"If you could have tea with any politician/celebrity, who would it be?",Desi Life & Culture Adaptations
What is the funniest thing a rickshaw driver has ever said to you?,Desi Life & Culture Adaptations
Describe your family using a Bollywood/Pakistani drama title.,Desi Life & Culture Adaptations
"What is your ""Totka"" (home remedy) that actually works?",Desi Life & Culture Adaptations
"What is the most ""Desi parent"" thing your parents do?",Desi Life & Culture Adaptations
Which cousin are you closest to?,Desi Life & Culture Adaptations
What is the most embarrassing nickname you have in the family?,Desi Life & Culture Adaptations
"What is your favorite street food? (Gol Gappay, Chaat, Samosa)",Desi Life & Culture Adaptations
"If you could only eat one type of rice dish for the rest of your life, what would it be?",Desi Life & Culture Adaptations
"Who is the most ""kanjoos"" (stingy) person you know?",Desi Life & Culture Adaptations
"What is a ""Rishta"" horror story you've heard?",Desi Life & Culture Adaptations
"If you were in a Pakistani drama, would you be the hero, villain, or the crying mother?",Desi Life & Culture Adaptations
What is the best way to handle load shedding (light janay ka waqt)?,Desi Life & Culture Adaptations
"What is your favorite childhood snack? (Slanty, Jubilee, Top Pops)",Desi Life & Culture Adaptations
How do you react when guests come over unannounced?,Desi Life & Culture Adaptations
What is the one thing your mother always nags you about?,Desi Life & Culture Adaptations
Imagine you are a news anchor on a Pakistani channel day. What is your breaking news?,Desi Life & Culture Adaptations
"If you could invent a new flavor of Lays, what would it be?",Desi Life & Culture Adaptations
Who makes the best Chai in your family?,Desi Life & Culture Adaptations
What are your favorite songs from your teenage years that you still rock out to?,More Fun Questions
Who was your childhood actor/actress crush?,More Fun Questions
What's your most embarrassing moment from your teen years?,More Fun Questions
What's the craziest dare you ever took?,More Fun Questions
What's the grossest food you ever had to eat to be polite?,More Fun Questions
What's the worst thing you ever did as a kid — and got away with?,More Fun Questions
What's the craziest fashion trend you ever rocked?,More Fun Questions
What did you get into the most trouble for with your parents as a kid?,More Fun Questions
What's your silliest memory with your best friend?,More Fun Questions
What part of elementary school do you wish you could incorporate into your adult life?,More Fun Questions
What was the first concert you ever went to?,More Fun Questions
Do you have any crazy roommate stories?,More Fun Questions
What is the weirdest thing you've ever eaten for breakfast?,More Fun Questions
What's the strangest family tradition in your family?,More Fun Questions
What was your favorite item of clothing as a kid?,More Fun Questions
What did you name your first car? (If you had one),More Fun Questions
What Disney/cartoon character were you inexplicably afraid of as a kid?,More Fun Questions
"What was your first record, tape or CD that you ever owned?",More Fun Questions
What were words you couldn't pronounce as a child?,More Fun Questions
Have you ever gotten super lost? What happened?,More Fun Questions
What's the story of your first crush?,More Fun Questions
What was your first job? What did you like/dislike about it?,More Fun Questions
Who was the worst grade-school teacher you ever had?,More Fun Questions
"What afterschool activity did you quit as a kid, and why?",More Fun Questions
What's the funniest thing that ever happened on your family vacation?,More Fun Questions
What's the funniest animal you've ever owned as a pet?,More Fun Questions
What's the worst haircut you ever had?,More Fun Questions
What's the best prank you've ever played on someone?,More Fun Questions
What's the most ridiculous thing your parents ever did to embarrass you?,More Fun Questions
"As a kid, did you ever do something wrong but manage to pin it on your siblings?",More Fun Questions
What's the worst job you've ever had?,More Fun Questions
What totally rad expression did you overuse in high school?,More Fun Questions
Who is your craziest/most interesting relative?,More Fun Questions
What band would you be embarrassed to admit you listen to?,More Fun Questions
What's the craziest thing on your bucket list?,More Fun Questions
What's a weird fact you happen to know?,More Fun Questions
"What is your real favorite movie, and what movie do you pretend is your favorite?",More Fun Questions
What's your strangest talent?,More Fun Questions
What's your funniest talent? Or un-talent?,More Fun Questions
What's your best idea for a reality TV show?,More Fun Questions
Which Disney character's story does your life most resemble?,More Fun Questions
Everyone has those recurring bad dreams … what is your nightmare?,More Fun Questions
What are two truths and a lie about you?,More Fun Questions
What's a funny (appropriate) pick-up line that works for you?,More Fun Questions
What's your favorite part of a fair or carnival?,More Fun Questions
What show on Netflix did you binge watch embarrassingly fast?,More Fun Questions
Which celebrity do you shamelessly follow in the news?,More Fun Questions
What's something about you that people would be surprised to know?,More Fun Questions
What is your favorite smell and why?,More Fun Questions
